58 75 158	12.34
63 135 30	14.34
56 167 58	15.52
33 149 156	13.04
154 99 9	11.56
63 44 125	12.48
58 84 42	12.54
117 75 109	12.12
187 124 131	12.12
79 79 114	10.32
110 99 61	12.74
71 195 143	15.64
9 101 86	13.9
53 180 126	12.84
44 44 86	10.32
97 160 173	13.78
100 104 77	10.74
18 57 43	12.84
1 124 193	13.9
167 142 189	13.44
4 97 33	13.9
128 199 4	9.4
128 110 188	12.74
185 7 91	9.7
30 172 34	12.92
117 38 55	12.48
45 195 92	13.04
120 197 78	13.26
51 88 80	13.78
126 170 45	12.54
51 87 18	13.78
70 120 188	13.78
60 33 134	12.12
65 37 122	12.12
59 132 147	14.34
192 7 69	15.22
41 22 24	11.26
74 185 58	15.26
92 90 193	12.74
53 179 41	12.84
25 181 175	12.68
15 63 173	13.04
193 40 152	11.18
191 111 60	12.12
123 184 173	14.52
68 115 147	13.78
163 119 67	12.48
161 79 137	11.96
168 3 136	15.22
28 1 107	10.3
0 195 172	10.08
136 125 78	12.74
36 74 198	14.34
114 162 82	12.54
197 75 132	11.32
156 135 196	13.44
137 196 59	12.54
121 62 151	12.12
77 132 17	13.78
65 104 176	13.26
70 127 5	8.6
24 115 41	13.04
170 11 179	11.18
181 17 188	11.18
54 14 31	13.58
111 115 116	10.74
131 138 38	10.74
101 105 20	10.74
3 150 40	13.9
74 79 161	10.74
139 23 102	11.18
140 131 32	12.74
124 162 133	12.34
40 168 128	13.04
138 166 56	10.74
45 121 120	15.52
130 149 120	10.74
119 144 195	14.0
37 108 114	15.52
141 46 16	9.62
22 158 158	13.9
181 41 126	11.18
137 108 73	12.74
165 194 14	10.74
6 102 60	13.9
98 76 193	12.74
159 154 90	12.74
66 10 34	12.08
126 49 111	11.32
34 98 140	15.52
62 32 89	12.12
157 76 182	11.96
169 7 94	10.3
98 139 78	12.54
109 149 111	12.54
43 72 190	13.78
25 141 128	12.92
112 157 196	14.52
27 94 50	12.84
188 199 129	14.0
48 126 164	15.52
191 155 109	12.74
140 56 191	11.96
126 144 3	5.94
145 87 48	12.12
182 7 43	9.12
81 29 12	10.62
119 50 129	11.96
31 172 54	12.92
78 148 41	13.78
190 16 153	11.18
169 104 104	12.12
121 36 35	13.1
67 150 173	14.64
9 37 141	13.04
77 174 54	14.34
183 157 94	12.74
46 62 76	12.54
18 85 96	13.04
16 158 140	13.9
41 19 37	11.96
78 108 50	12.54
152 142 120	12.74
20 24 67	10.74
50 196 39	15.06
73 192 81	15.52
70 14 3	14.42
109 18 76	11.18
30 109 122	15.06
176 98 120	12.12
153 118 50	12.74
97 168 97	13.78
125 17 62	13.26
19 168 75	13.9
173 74 121	11.96
102 24 132	11.18
152 197 155	13.24
131 11 62	11.28
40 177 101	13.04
66 94 116	12.54
123 75 20	11.26
164 99 131	12.12
99 197 35	13.78
129 174 29	12.54
121 37 74	12.48
99 78 198	12.74
114 97 17	11.88
92 199 158	14.64
152 19 148	11.18
167 9 40	13.74
172 109 146	12.12
126 189 57	13.02
191 97 103	12.12
80 152 63	13.78
93 71 98	12.74
103 95 67	12.74
184 48 105	12.48
42 100 96	15.26
15 82 28	12.92
68 65 98	12.74
114 32 114	12.48
181 85 184	11.96
26 49 165	13.78
95 179 70	13.78
149 21 141	11.18
170 136 187	13.44
34 11 91	12.48
80 147 132	13.78
178 89 48	11.96
101 73 144	12.48
156 144 86	12.74
146 125 48	12.74
99 32 100	12.48
67 96 42	12.54
55 60 161	10.74
74 1 161	9.18
58 100 173	13.78
25 34 191	12.54
175 73 83	11.96
196 158 90	12.74
186 187 131	10.74
195 179 74	12.74
158 103 140	12.12
160 4 142	12.02
126 63 191	11.96
130 33 62	12.48
192 154 55	12.74
80 45 83	12.12
99 163 131	13.26
49 156 51	12.84
137 189 56	12.54
166 191 141	14.0
117 75 5	6.96
80 31 157	11.32
119 105 1	7.08
36 53 11	13.74
83 72 179	12.74
108 177 80	13.26
128 168 23	12.34
95 125 32	12.34
147 90 96	12.12
149 84 21	11.26
46 36 111	12.74
167 157 131	12.74
87 62 58	12.48
107 194 77	13.78
138 91 34	12.12
182 186 178	10.88
73 44 156	12.12
24 43 180	13.78
150 195 78	12.34
27 189 61	13.9
73 67 187	12.74
8 7 60	12.74
118 123 116	10.74
142 106 167	12.48
158 65 170	11.96
146 98 80	12.48
28 8 47	12.48
128 168 9	11.78
87 128 11	13.74
196 96 144	11.96
120 113 149	12.74
72 123 88	13.78
5 183 32	13.9
48 75 184	13.26
158 19 49	11.96
155 155 189	13.26
195 88 169	11.96
21 60 88	15.52
132 156 5	7.32
87 16 160	11.18
1 177 77	13.9
172 26 128	11.18
158 34 142	11.18
114 175 110	13.26
102 14 102	11.18
188 100 165	12.12
91 26 138	12.48
129 137 198	14.0
64 32 165	11.96
85 179 121	14.34
112 11 6	16.52
190 102 153	12.12
93 70 55	12.74
70 145 8	15.76
182 58 189	12.48
144 42 95	12.48
111 137 14	10.74
19 56 58	15.52
50 19 157	11.32
61 74 77	10.74
160 12 96	10.78
112 173 64	13.26
115 41 156	11.32
85 63 128	12.48
78 38 124	11.96
183 13 91	13.86
155 10 35	12.82
70 114 95	13.26
20 167 20	13.9
49 167 109	12.84
37 5 49	12.62
44 23 100	12.12
6 67 111	13.9
127 173 157	14.52
40 69 117	13.78
30 17 187	12.12
151 63 194	11.96
123 71 31	12.12
14 82 103	12.92
58 41 138	12.48
163 64 121	11.32
114 83 53	12.48
160 156 138	12.74
140 98 153	12.48
115 162 155	13.02
128 36 6	14.04
113 86 15	10.2
81 46 176	12.12
72 74 86	10.74
46 12 134	12.48
134 8 27	11.6
175 178 43	10.74
30 112 108	15.06
74 89 151	10.74
106 59 146	12.12
71 88 116	10.74
115 74 71	12.12
34 194 122	12.92
198 172 138	12.74
55 81 173	12.54
196 188 76	12.74
55 8 129	11.18
136 159 178	14.0
88 188 164	14.64
126 104 66	12.74
18 23 18	12.34
88 1 3	13.94
43 2 22	12.42
149 144 81	12.74
163 36 103	11.18
48 147 78	12.84
128 27 98	11.18
112 65 76	12.12
143 182 139	13.2
154 116 92	12.74
15 182 107	13.9
123 31 196	12.48
92 11 11	12.28
17 77 143	13.04
144 176 60	10.74
73 182 30	15.26
188 65 89	11.32
152 1 50	10.94
63 125 72	13.78
26 185 20	13.9
116 166 100	12.54
13 106 182	13.9
190 60 81	12.48
197 92 167	11.96
118 68 20	11.06
21 187 93	13.9
74 78 16	10.74
184 160 88	12.74
116 79 33	12.48
113 36 21	13.68
13 29 35	14.34
190 171 113	12.74
44 72 185	13.26
53 131 45	15.26
1 138 25	13.9
189 187 119	12.74
26 114 33	13.04
7 15 32	14.34
32 121 50	15.06
20 128 98	14.06
128 76 4	11.94
107 44 101	11.96
97 182 195	12.58
148 199 153	14.52
165 156 197	13.44
25 18 99	12.48
185 74 98	11.96
145 18 44	12.7
11 131 12	13.9
171 135 189	13.44
35 105 52	12.8
11 9 127	12.74
163 15 167	11.18
129 57 47	11.96
162 188 35	10.74
26 16 104	12.12
140 73 9	10.38
81 108 78	12.34
38 182 168	11.48
31 51 162	13.26
107 156 105	12.54
195 80 158	11.96
119 41 7	8.48
171 149 67	12.74
144 173 11	14.18
122 45 36	11.32
37 9 113	11.18
3 170 192	13.08
140 157 190	14.0
19 137 72	13.9
33 124 66	15.06
130 128 150	12.74
42 149 81	15.06
46 158 167	12.76
159 110 173	12.48
71 180 44	15.52
148 73 88	11.96
13 172 74	13.9
182 17 42	9.98
169 37 132	11.18
147 82 7	9.18
111 183 16	13.26
195 112 98	12.12
179 77 130	11.96
181 23 161	11.18
37 47 47	12.34
20 14 197	12.48
58 53 92	12.74
132 34 23	11.84
28 131 186	13.04
118 170 88	12.54
39 28 83	12.48
115 182 44	13.26
86 125 104	12.54
142 24 177	11.18
96 51 74	12.12
12 151 99	13.9
5 143 80	13.9
105 148 25	12.54
20 155 107	13.9
179 1 21	10.94
98 79 41	12.74
171 171 158	13.26
149 92 111	12.12
15 34 187	14.34
196 29 155	11.18
160 13 106	11.4
0 147 21	9.74
141 61 39	11.96
5 138 68	13.9
139 64 2	14.5
54 72 26	12.34
170 153 33	12.74
50 127 165	15.52
61 192 130	12.84
167 141 182	13.44
87 91 165	10.74
196 91 64	11.96
152 129 127	12.74
17 93 151	12.92
19 146 179	12.68
191 74 0	10.22
85 98 166	10.74
166 146 113	12.74
0 152 30	9.74
72 41 63	12.12
160 6 127	14.44
166 1 30	10.94
3 11 61	15.06
49 145 160	15.52
118 160 82	12.54
138 74 21	11.06
122 190 165	13.78
31 190 116	14.06
71 191 47	15.52
127 13 149	11.18
28 30 63	10.74
172 102 176	12.12
172 90 15	12.72
62 44 148	12.48
88 31 16	11.72
135 91 49	12.48
149 178 156	14.0
45 37 72	12.74
10 52 15	12.92
191 34 162	11.18
179 87 87	11.96
155 9 124	10.78
114 13 132	11.18
170 183 51	10.74
28 103 150	15.06
3 95 149	13.9
41 146 43	15.06
58 76 98	12.34
150 179 190	9.02
75 73 152	12.74
178 111 83	12.12
1 68 102	13.9
70 102 142	12.54
187 5 18	13.7
7 125 146	13.9
55 163 77	15.52
9 21 79	14.34
190 92 138	11.96
193 164 105	12.74
133 107 27	12.74
19 89 93	13.04
130 133 63	10.74
66 197 168	15.64
148 21 69	11.22
27 152 8	14.94
129 164 74	12.34
28 176 164	12.84
75 100 56	12.34
83 124 157	12.54
176 89 72	12.12
139 102 164	12.48
90 123 192	12.54
7 88 17	13.9
139 104 115	12.48
163 58 165	11.32
47 194 11	13.04
96 6 137	11.4
69 146 182	14.64
93 158 90	13.78
86 191 120	14.34
189 158 35	12.74
148 73 44	11.96
136 1 52	13.7
117 138 11	12.64
43 184 41	13.04
185 133 191	13.76
62 145 117	15.26
48 46 149	12.74
64 162 90	15.52
98 157 51	13.26
171 92 71	12.12
134 112 76	12.74
166 117 94	12.48
188 38 123	11.18
194 9 149	13.86
141 117 141	12.74
112 58 84	12.12
68 75 182	10.74
10 43 186	13.04
28 157 90	12.92
174 157 163	13.44
27 97 161	15.06
112 149 7	11.56
100 168 97	13.78
86 4 188	11.4
128 183 64	12.54
0 43 62	9.74
80 157 62	13.78
43 179 159	11.48
69 116 151	13.78
185 13 150	11.18
83 89 7	10.22
40 169 51	13.04
96 55 180	12.12
69 74 108	10.74
176 105 183	12.12
107 174 78	13.26
122 86 77	12.48
25 111 105	13.04
174 49 69	12.48
120 40 183	11.32
173 123 131	12.48
57 162 146	15.52
137 105 127	12.74
135 131 2	10.5
98 58 76	12.12
159 58 62	11.32
105 79 85	12.74
22 181 153	13.08
74 193 147	15.64
181 120 189	12.12
117 181 111	13.26
15 6 65	11.96
165 174 7	10.22
104 46 39	11.96
48 193 172	11.48
172 93 144	12.12
169 170 71	10.74
38 7 13	9.16
115 188 4	11.22
173 67 15	10.38
175 45 45	12.48
126 159 28	12.34
26 83 158	12.84
161 86 194	12.12
17 166 44	13.9
141 51 120	11.32
125 24 80	11.18
176 72 114	11.96
76 94 8	10.02
18 27 125	13.02
31 99 185	12.84
17 38 68	14.34
21 161 94	13.9
142 42 3	12.64
98 153 29	13.26
7 88 65	13.9
168 180 139	10.86
182 188 11	12.1
24 33 71	12.54
161 136 5	7.82
113 93 99	12.74
80 22 45	12.48
149 133 95	12.74
91 95 43	10.74
20 159 12	13.9
123 194 90	13.26
9 168 1	4.98
163 198 94	10.74
53 49 156	12.74
94 1 130	14.18
156 118 32	12.74
69 173 123	15.52
141 20 47	12.62
188 27 58	13.26
2 133 157	13.9
27 137 21	12.92
93 165 70	13.78
175 111 127	12.12
174 155 115	12.74
4 80 162	13.9
59 65 116	10.74
183 45 24	11.62
150 146 104	12.74
99 23 144	11.18
16 7 197	11.96
47 74 32	13.26
166 70 147	11.96
185 28 40	10.52
61 103 105	13.78
183 97 9	11.18
30 14 121	11.96
86 17 81	11.18
104 100 142	12.74
169 100 178	12.12
33 148 97	13.04
145 179 48	10.74
179 85 70	11.96
32 187 148	10.9
164 116 162	12.48
112 63 46	12.12
166 45 50	12.48
157 53 170	11.32
135 23 105	11.18
108 119 140	10.74
117 189 22	13.26
150 83 14	12.16
173 70 184	11.96
130 135 125	10.74
169 78 53	11.96
63 186 190	13.0
197 89 121	11.96
193 182 16	11.88
49 133 99	15.52
18 119 104	14.06
100 107 86	10.74
27 43 171	13.26
174 174 20	10.32
134 30 176	11.18
130 24 14	14.68
108 66 91	12.12
0 50 183	9.74
43 30 55	12.48
69 17 10	9.42
40 6 68	11.22
178 60 47	11.32
10 50 0	3.38
181 59 5	13.22
113 138 99	10.74
75 139 43	13.78
94 146 85	13.26
17 31 153	13.78
14 137 141	13.9
97 11 166	11.18
141 8 41	12.38
174 170 52	12.74
197 12 11	11.82
25 79 74	12.84
151 174 95	10.74
88 138 125	13.26
138 39 125	12.48
135 69 140	12.12
12 87 0	5.36
112 99 164	12.74
116 92 27	12.74
48 16 3	13.4
169 91 140	12.12
79 108 39	12.54
82 37 138	11.96
167 192 30	10.74
152 199 72	12.34
143 151 151	10.74
86 116 106	12.54
119 45 180	11.32
197 131 134	12.12
177 118 199	12.12
92 60 67	12.12
81 106 199	12.34
166 155 59	12.74
120 164 22	12.54
99 125 117	12.34
153 85 28	11.26
181 110 8	11.92
40 171 39	13.04
59 140 166	15.26
109 69 91	12.12
191 184 193	13.94
168 190 60	10.74
68 74 170	10.74
30 172 29	12.92
55 183 166	12.76
64 3 17	11.66
187 149 60	12.74
128 158 111	10.74
46 51 149	10.74
80 69 117	12.74
128 86 190	12.48
31 186 175	12.84
59 32 183	12.12
137 45 76	12.48
56 107 77	13.78
117 74 191	12.12
33 13 10	9.98
29 5 76	11.18
96 75 6	10.94
144 65 70	11.96
87 17 26	12.64
160 196 103	10.74
158 194 113	10.74
27 139 121	12.92
110 28 179	12.48
42 39 12	14.7
175 63 194	11.32
110 138 141	12.34
106 126 105	10.74
146 99 17	10.08
78 81 71	10.74
107 109 70	10.74
44 181 128	13.04
134 129 18	12.74
143 25 53	11.64
192 178 89	12.74
91 174 170	13.78
134 179 147	14.52
92 141 180	13.78
128 137 105	10.74
23 30 153	12.34
184 20 150	11.18
19 59 112	12.84
9 109 153	13.9
156 115 169	12.48
17 53 55	12.84
123 54 127	11.96
10 188 27	13.9
43 27 118	12.12
122 172 45	12.54
95 175 163	13.78
51 15 180	12.48
190 29 98	11.18
120 160 71	12.34
24 56 128	14.34
45 94 78	14.34
68 125 155	13.78
140 116 47	12.74
20 109 173	12.92
101 84 81	12.74
129 150 167	10.86
139 149 161	10.74
46 185 93	13.04
184 74 178	11.96
16 8 179	11.96
0 165 180	9.94
35 125 110	15.06
107 56 61	12.12
169 76 146	11.96
69 126 93	13.78
139 61 67	11.96
19 52 20	15.52
28 20 114	12.48
78 116 72	12.54
94 195 57	14.34
90 113 111	12.34
183 120 22	11.26
174 59 4	8.78
94 116 13	12.8
162 116 166	12.48
156 194 108	10.74
120 25 122	11.18
55 189 26	12.84
106 23 52	11.18
22 67 138	12.84
175 140 175	12.74
169 60 39	11.32
58 58 189	10.32
68 194 48	15.52
33 77 131	14.34
6 31 66	12.92
187 78 99	11.96
8 20 152	15.26
104 129 158	10.74
141 112 31	12.74
59 89 111	13.26
66 45 77	12.48
178 137 14	11.5
0 126 47	9.74
31 88 176	15.52
124 54 158	11.96
52 124 167	15.26
57 151 163	15.52
83 163 53	13.78
48 30 119	12.12
128 151 33	10.74
193 95 100	11.96
79 191 111	15.26
64 163 9	14.68
162 158 110	12.74
12 92 86	13.9
11 35 18	12.84
149 23 91	11.18
16 79 126	13.04
176 83 193	11.96
170 121 6	8.74
39 31 90	12.74
73 196 140	15.64
191 115 148	12.12
28 185 27	14.06
126 139 107	10.74
17 4 127	11.18
121 109 42	12.74
187 98 126	12.12
156 159 54	10.74
47 179 147	14.04
127 92 97	12.48
67 110 34	13.26
88 198 114	14.34
99 48 95	11.96
75 186 2	5.52
101 128 54	12.34
110 49 66	11.96
3 80 44	13.9
141 187 144	13.24
60 10 73	11.18
40 187 88	13.04
194 194 182	11.14
44 116 31	15.52
16 134 103	13.9
125 64 182	12.12
53 37 144	12.48
31 116 23	15.06
190 143 125	12.74
102 115 153	10.74
90 96 186	10.74
21 26 85	10.74
120 82 144	12.48
102 109 5	8.82
77 157 109	14.34
8 30 157	15.06
33 130 115	15.06
104 182 172	13.78
2 6 5	11.06
58 90 0	4.58
199 38 74	11.18
82 142 190	13.78
65 105 2	9.44
56 46 72	12.74
160 98 81	12.12
8 59 196	13.9
81 7 172	11.18
89 69 104	12.74
35 154 96	13.04
54 31 175	12.12
86 19 161	11.18
120 122 187	10.74
147 65 45	11.96
66 131 16	13.78
92 182 124	13.78
6 41 193	14.06
18 12 48	12.12
190 95 37	11.96
162 58 126	11.32
92 27 159	12.48
33 1 170	12.3
47 113 95	15.26
152 27 78	11.18
71 17 10	9.12
47 65 171	12.54
12 47 46	15.06
79 174 96	14.34
147 21 182	11.18
118 144 136	10.74
175 117 94	12.48
113 32 93	12.48
196 72 191	11.32
125 180 186	13.86
181 149 61	12.74
52 38 140	12.48
140 65 117	11.96
93 99 151	10.74
144 164 105	10.74
141 51 14	9.18
97 20 66	11.18
38 67 149	13.78
60 5 44	12.02
130 69 183	12.12
64 136 5	11.66
94 54 29	12.12
113 38 14	11.02
113 70 47	12.12
110 116 173	10.74
59 30 195	12.12
176 165 183	13.44
77 76 52	12.74
155 77 44	11.96
127 56 198	11.96
88 50 18	12.04
40 190 48	13.04
76 145 113	13.78
160 52 182	12.48
160 30 14	12.6
161 92 118	12.12
153 53 188	11.32
101 54 97	12.12
175 13 29	9.76
78 37 108	11.96
57 2 44	13.74
192 129 106	12.48
134 109 176	12.74
171 18 2	13.32
167 92 63	12.12
65 97 91	12.54
26 77 29	15.52
144 130 128	12.74
119 77 9	11.56
94 93 158	12.74
44 148 138	12.84
177 40 55	11.18
165 65 198	11.32
19 85 23	13.04
115 86 163	12.48
193 139 33	12.48
189 171 74	12.74
195 66 2	14.04
135 117 131	12.74
137 85 96	12.12
98 189 9	12.14
85 71 138	12.74
135 58 176	11.96
179 164 129	12.74
138 57 80	11.96
14 116 74	13.9
18 49 137	15.52
37 34 64	12.74
92 179 111	13.78
53 109 67	14.34
72 2 144	10.74
80 93 131	10.74
74 49 25	12.12
158 177 69	10.74
73 99 95	12.54
111 101 86	12.74
182 137 63	12.74
97 83 152	12.74
10 151 39	13.9
132 58 26	11.96
93 131 106	12.54
145 73 109	12.12
165 135 38	12.74
88 191 12	14.34
182 133 65	12.48
80 126 96	13.26
95 193 72	14.34
4 199 166	13.08
33 195 185	13.9
176 113 128	12.12
0 52 117	9.74
179 1 154	11.44
5 45 129	13.9
71 195 66	15.52
21 55 9	14.68
36 104 48	15.52
37 67 150	13.78
110 171 130	13.26
92 42 41	11.96
50 74 48	12.54
48 68 149	12.54
199 129 170	12.12
37 75 84	14.34
40 112 196	15.52
46 99 179	14.34
152 97 35	12.12
188 7 192	10.78
163 144 59	12.74
4 92 189	13.9
26 186 37	13.9
108 14 191	11.18
107 55 148	12.12
81 198 53	15.26
51 172 154	12.76
5 165 122	13.9
41 159 180	14.04
9 193 119	13.9
61 107 91	13.78
139 78 42	12.12
15 137 49	13.9
36 114 5	11.9
105 109 110	10.74
96 170 175	13.78
22 84 59	15.06
187 164 143	12.74
82 0 96	11.18
184 166 7	8.12
176 61 171	11.32
169 169 125	10.32
198 194 40	12.74
51 179 149	14.04
91 127 176	12.54
43 15 13	12.32
141 26 48	13.48
29 69 143	15.26
137 109 84	12.74
172 125 25	12.48
41 113 159	15.52
88 36 148	11.96
74 19 13	10.78
22 162 172	12.68
21 124 191	12.92
106 115 103	10.74
150 49 59	12.48
20 28 169	12.54
9 70 85	13.9
32 179 153	10.9
11 36 188	12.84
126 2 109	12.76
112 145 74	12.34
2 29 17	13.9
81 134 169	13.26
15 55 65	15.06
67 70 170	10.74
44 168 50	15.06
71 184 15	15.52
40 96 166	15.26
167 73 183	11.96
41 10 16	12.56
101 44 140	11.96
65 100 96	13.26
128 39 14	12.8
69 155 99	14.34
11 196 44	13.9
153 156 10	11.26
24 156 149	14.06
0 190 28	9.74
16 173 179	13.08
181 23 142	11.18
83 39 128	11.96
105 1 0	14.8
159 44 138	12.48
13 8 94	12.12
193 7 33	12.94
7 196 146	13.08
172 174 76	10.74
164 182 136	10.74
64 187 196	13.0
37 172 120	13.04
193 150 1	7.98
83 136 186	13.78
75 101 26	12.54
42 10 174	11.18
71 61 58	12.74
141 86 96	12.12
134 15 58	12.62
154 8 52	11.42
176 36 93	11.18
94 74 171	12.74
102 140 2	9.04
29 193 54	14.06
138 20 96	11.18
53 151 55	15.52
3 1 124	11.32
0 28 94	9.74
129 163 115	12.34
48 116 101	15.26
36 9 38	14.54
6 148 162	13.9
134 144 181	14.0
109 137 109	12.34
13 144 89	13.9
35 64 191	13.78
23 105 115	13.04
160 131 109	12.74
82 95 89	10.74
66 10 111	11.18
23 199 196	13.4
167 101 77	12.12
186 13 6	15.34
57 142 121	15.26
88 51 77	12.12
32 11 39	11.32
43 47 76	10.74
65 15 164	11.18
47 92 191	13.78
191 135 113	12.48
112 106 59	12.74
167 13 38	11.3
51 148 20	15.52
56 199 189	14.4
24 67 61	15.52
168 23 1	14.6
101 79 34	12.74
125 47 64	11.32
76 88 54	10.74
58 125 30	14.34
3 157 146	13.9
189 56 130	12.48
116 33 96	12.48
85 152 21	13.78
79 14 25	8.7
158 12 6	15.34
195 159 163	13.44
177 10 126	10.78
26 3 88	11.22
20 5 185	14.42
146 113 49	12.74
177 102 161	12.12
137 11 93	11.02
72 28 190	11.32
126 181 48	12.54
82 195 100	15.26
153 47 172	12.48
87 189 14	14.34
171 57 169	11.32
16 118 130	13.9
44 190 8	13.94
123 97 6	10.94
82 47 27	11.26
188 199 109	10.74
5 33 31	14.06
98 186 138	13.78
130 2 107	10.28
107 17 10	12.92
159 48 154	12.48
181 176 79	12.74
78 175 168	14.64
16 35 121	14.34
177 82 170	11.96
95 29 65	12.48
56 20 54	11.32
72 1 95	14.08
67 76 115	10.74
39 138 18	15.06
175 122 169	12.48
171 106 64	12.12
191 121 8	9.72
135 103 29	12.74
175 96 16	13.28
140 133 184	12.74
14 129 29	13.9
9 176 126	13.9
43 105 163	15.26
193 128 26	12.12
76 126 131	13.26
14 120 163	13.9
114 77 44	12.48
171 133 69	12.74
6 161 113	13.9
199 34 90	11.18
38 132 21	12.84
109 50 52	11.96
37 160 53	13.04
115 143 65	10.74
101 142 50	12.54
36 102 75	15.52
4 184 49	13.9
64 184 24	15.52
149 76 160	12.12
110 94 181	12.74
30 194 183	13.22
187 47 95	12.48
155 179 93	10.74
17 67 67	15.06
25 29 73	10.74
35 64 123	13.78
178 58 69	12.48
197 75 106	11.32
114 50 140	11.96
110 60 33	12.12
199 149 98	12.48
178 30 178	11.18
181 21 154	11.18
105 125 191	10.74
0 175 121	9.74
61 131 40	14.34
171 99 82	12.12
68 92 74	12.54
132 29 2	14.58
57 190 147	12.76
177 81 41	11.96
80 117 125	12.54
75 48 97	12.12
160 100 47	12.12
137 144 196	14.0
156 152 65	12.74
44 59 91	12.54
3 168 184	13.08
183 196 150	14.0
49 193 58	15.06
106 4 162	11.76
173 39 96	11.18
92 70 102	12.74
99 28 11	13.18
118 106 144	12.74
127 191 173	12.52
51 96 167	13.78
87 119 147	12.54
36 187 156	10.9
50 45 190	12.74
186 123 145	12.12
142 26 129	11.18
170 22 122	11.18
79 88 146	10.74
10 50 178	12.92
77 148 171	13.78
150 180 27	10.74
68 150 131	14.34
181 131 124	12.48
72 136 107	13.78
42 104 150	15.26
150 178 59	10.74
51 60 20	10.74
64 160 188	15.56
118 29 162	11.18
111 64 184	12.12
41 21 123	12.12
4 138 136	13.9
82 159 76	13.78
48 36 27	12.48
75 153 159	14.34
17 34 105	14.34
0 17 194	9.74
14 162 122	13.9
3 109 195	13.9
21 57 112	15.52
103 128 192	10.74
160 0 155	11.18
5 163 33	13.9
16 72 155	13.04
27 138 43	12.92
80 47 63	12.12
51 113 69	14.34
97 40 69	11.96
53 103 77	13.78
187 142 199	13.44
90 67 197	12.48
136 42 79	12.48
192 192 15	9.64
49 36 73	12.48
83 172 8	15.76
74 197 124	15.52
177 148 17	11.88
175 44 119	12.48
66 96 60	12.54
169 31 131	11.18
63 17 107	12.48
168 195 7	9.68
5 53 59	13.9
192 13 59	9.98
121 51 159	11.96
114 58 82	12.12
191 188 137	13.44
6 114 149	13.9
21 117 160	12.92
46 104 174	14.34
90 199 12	14.34
110 188 36	13.78
176 101 102	12.12
65 199 156	12.76
152 17 133	11.18
8 30 6	13.58
194 126 123	12.12
6 68 58	13.9
58 40 130	12.48
84 155 144	13.78
181 140 119	12.74
67 106 183	13.26
11 195 169	13.08
177 38 134	11.18
158 15 99	11.64
116 139 162	10.74
20 51 160	15.52
24 46 187	13.78
38 18 4	14.22
18 55 99	12.84
128 158 172	14.0
18 123 134	14.06
191 86 138	11.96
39 125 154	12.84
182 109 180	12.12
4 47 167	13.9
154 147 18	12.74
35 155 126	13.04
85 86 171	10.74
11 58 163	12.92
37 98 50	15.52
107 33 186	12.48
40 181 39	13.04
110 18 138	11.18
36 174 29	13.04
196 178 194	13.94
43 154 111	15.06
194 23 181	11.18
10 112 152	13.9
69 116 185	13.78
105 87 113	12.74
87 135 153	13.26
140 114 46	12.74
143 11 154	11.18
180 80 147	11.96
107 47 196	11.96
173 138 45	12.74
2 146 70	13.9
142 102 68	12.48
178 90 88	12.12
71 43 60	12.12
53 101 188	13.78
138 70 30	11.26
110 65 88	12.12
52 46 109	12.74
7 110 100	13.9
175 119 149	12.48
180 161 70	12.74
144 49 123	11.32
4 68 71	13.9
